"Time (s)","Period (s)","Frequency (Hz)"
4.298808535E0,2.379958246E-3,4.201754386E2
4.332007112E0,3.235908142E-3,3.090322581E2
4.349278150E0,5.323590814E-3,1.878431373E2
4.366833650E0,5.323590814E-3,1.878431373E2
4.380166919E0,NaN,NaN
4.396488189E0,2.818371608E-3,3.548148148E2
4.431125958E0,2.901878914E-3,3.446043165E2
4.447535919E0,2.901878914E-3,3.446043165E2
4.497009035E0,NaN,NaN
4.515686919E0,NaN,NaN
4.534621573E0,4.592901879E-3,2.177272727E2
4.553781419E0,NaN,NaN
4.573161765E0,NaN,NaN
4.591702804E0,4.864300626E-3,2.055793991E2
4.656083381E0,NaN,NaN
4.671781688E0,5.929018789E-3,1.686619718E2
4.689912073E0,NaN,NaN
4.705934188E0,NaN,NaN
4.718220304E0,NaN,NaN
4.773917419E0,NaN,NaN
4.787875035E0,NaN,NaN
4.801580573E0,NaN,NaN
4.829645727E0,NaN,NaN
4.842832996E0,NaN,NaN
4.914553342E0,NaN,NaN
4.930335265E0,4.968684760E-3,2.012605042E2
4.947041265E0,4.968684760E-3,2.012605042E2
4.960232958E0,NaN,NaN
4.976534150E0,2.797494781E-3,3.574626866E2
5.012065381E0,NaN,NaN
5.139037727E0,5.073068894E-3,1.971193416E2
5.155988842E0,5.198329854E-3,1.923694779E2
5.296023880E0,1.503131524E-3,6.652777778E2
5.309111303E0,1.503131524E-3,6.652777778E2
5.321272457E0,4.070981211E-3,2.456410256E2
5.375733380E0,4.530271399E-3,2.207373272E2
5.389901650E0,1.356993737E-3,7.369230769E2
5.403402765E0,1.356993737E-3,7.369230769E2
5.415373726E0,6.847599165E-3,1.460365854E2
5.430448188E0,4.070981211E-3,2.456410256E2
5.507585957E0,4.342379958E-3,2.302884615E2
5.521461919E0,4.342379958E-3,2.302884615E2
5.560619111E0,7.494780793E-3,1.334261838E2
5.610406419E0,NaN,NaN
5.625639534E0,NaN,NaN
5.655011688E0,7.014613779E-3,1.425595238E2
5.673350495E0,4.029227557E-3,2.481865285E2
5.690390380E0,4.864300626E-3,2.055793991E2
5.706979303E0,4.864300626E-3,2.055793991E2
5.738907995E0,4.530271399E-3,2.207373272E2
5.755140072E0,4.572025052E-3,2.187214612E2
5.771430457E0,5.302713987E-3,1.885826772E2
5.819065226E0,NaN,NaN
5.871501688E0,6.764091858E-3,1.478395062E2
5.889580111E0,NaN,NaN
5.905250688E0,NaN,NaN
5.918031957E0,NaN,NaN
5.935986995E0,7.098121086E-3,1.408823529E2
5.952859918E0,NaN,NaN
6.016495264E0,NaN,NaN
6.032641918E0,6.701461378E-3,1.492211838E2
6.050325341E0,NaN,NaN
6.067252264E0,NaN,NaN
6.114578803E0,NaN,NaN
6.159791303E0,NaN,NaN
6.195270880E0,6.200417537E-3,1.612794613E2
6.212313687E0,NaN,NaN
6.335147880E0,NaN,NaN
6.350321072E0,NaN,NaN
6.365810187E0,NaN,NaN
6.433017495E0,5.949895616E-3,1.680701754E2
6.451386264E0,NaN,NaN
6.468972956E0,NaN,NaN
6.486386726E0,NaN,NaN
6.516592264E0,NaN,NaN
6.533681841E0,NaN,NaN
6.551533956E0,NaN,NaN
6.600801572E0,NaN,NaN
6.617999495E0,NaN,NaN
6.683760610E0,3.340292276E-3,2.993750000E2
6.702959149E0,NaN,NaN
6.718791033E0,NaN,NaN
6.735288110E0,3.966597077E-3,2.521052632E2
6.798985495E0,NaN,NaN
6.816175302E0,NaN,NaN
6.832981148E0,NaN,NaN
6.869083841E0,NaN,NaN
6.887497687E0,NaN,NaN
6.901832418E0,NaN,NaN
6.921801110E0,NaN,NaN
6.939982802E0,NaN,NaN
6.978227033E0,7.453027140E-3,1.341736695E2
6.992563110E0,NaN,NaN
7.007488687E0,NaN,NaN
7.020535456E0,3.089770355E-3,3.236486486E2
7.056045418E0,7.473903967E-3,1.337988827E2
7.090808187E0,NaN,NaN
7.107040341E0,NaN,NaN
