"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
2.701623304E0,4.074471295E-1,-2.742784977E0,1.695151091E0
2.721603497E0,8.289441466E-1,-2.894279480E0,1.941940665E0
2.741579266E0,1.015258074E0,-1.791667819E0,1.762346268E0
2.761550650E0,3.463605940E-1,1.771509275E-2,1.255938888E0
2.781519150E0,1.160643995E-2,5.198463202E-1,1.119105101E0
2.801508727E0,7.208210230E-2,1.417207420E-1,1.090394497E0
2.821488919E0,3.665191308E-2,-2.180788964E-1,1.125213742E0
2.841471458E0,-2.425135076E-1,-2.687807009E-2,9.492846131E-1
2.861444381E0,-4.398229718E-1,8.888089061E-1,8.271115422E-1
2.881408419E0,-6.346889734E-1,1.409266114E0,1.218065262E0
2.901376765E0,-5.039638281E-1,1.547932506E0,1.744020224E0
2.921392265E0,2.443460980E-3,1.028697014E0,2.062891960E0
2.941365765E0,-2.095267773E-1,1.164309144E0,1.976759911E0
2.961347073E0,-8.600982428E-1,1.571145415E0,1.621236324E0
2.981316842E0,-1.281595230E0,1.592525721E0,1.369559884E0
3.001289996E0,-1.400714040E0,1.254717231E0,1.414763927E0
3.021239534E0,-1.312749386E0,7.984008789E-1,1.646892667E0
3.041218034E0,-1.327410221E0,8.307767510E-1,2.127643585E0
3.061189880E0,-1.628566742E0,1.431257248E0,2.554027557E0
3.081165649E0,-2.043955088E0,1.670716405E0,2.280970812E0
3.101137649E0,-2.104430676E0,1.161865711E0,2.186897516E0
3.121116380E0,-2.243708134E0,1.759291887E0,2.405587435E0
3.141084341E0,-2.908329487E0,2.762943506E0,2.467284679E0
3.161131380E0,-3.318219900E0,2.759889126E0,2.290133715E0
3.181086303E0,-3.171001434E0,2.009135723E0,2.265699148E0
3.201062764E0,-2.996904850E0,1.480737329E0,2.375044107E0
3.221030187E0,-3.040276289E0,1.825876236E0,2.298074961E0
3.240999648E0,-3.032335043E0,2.356718063E0,2.003638029E0
3.260970648E0,-3.159394979E0,2.745228529E0,1.576643229E0
3.280950456E0,-3.364645720E0,2.605951071E0,1.314581990E0
3.300917725E0,-3.340821981E0,1.957823157E0,1.252884626E0
3.320890033E0,-2.957198620E0,1.401935697E0,1.304808140E0
3.340842533E0,-2.574186087E0,1.439198494E0,1.186911225E0
3.360824648E0,-2.444682598E0,1.742798567E0,9.352346659E-1
3.380794609E0,-2.325563908E0,2.195449591E0,8.258898258E-1
3.400809302E0,-2.578462124E0,2.441017628E0,9.492846131E-1
3.420779917E0,-2.582738161E0,2.082439661E0,9.694431424E-1
3.440763955E0,-2.464841366E0,1.524108768E0,1.113607287E0
3.460728186E0,-2.221106052E0,1.279762745E0,1.334129691E0
3.480701417E0,-2.138028383E0,1.543656468E0,1.394605398E0
3.500652417E0,-2.679255009E0,2.215608358E0,1.121548533E0
3.520630994E0,-3.004235268E0,2.119091511E0,7.458664775E-1
3.540599724E0,-2.926044464E0,9.511171579E-1,9.376781583E-1
3.560584378E0,-2.795319319E0,-8.735372871E-2,1.509448051E0
3.580567301E0,-2.670091867E0,-3.976732790E-1,1.883297563E0
3.600547186E0,-2.605951071E0,-4.831944108E-1,1.828319669E0
3.620514224E0,-2.251038313E0,-4.728097022E-1,1.773341775E0
3.640533224E0,-1.910786510E0,-1.026253626E-1,1.807550311E0
3.660486378E0,-1.908953905E0,8.307767510E-1,1.700648785E0
3.680466031E0,-1.863749862E0,1.171639562E0,1.539380431E0
3.700436416E0,-1.326188445E0,2.412917763E-1,1.381166339E0
3.720411224E0,-1.209513187E0,-1.117883399E-1,1.053742528E0
3.740387993E0,-1.330464482E0,2.620611787E-1,8.448266387E-1
3.760374031E0,-9.621127844E-1,4.251621962E-1,1.076344609E0
3.780348454E0,-3.341432810E-1,2.443460971E-1,1.689653277E0
3.800327300E0,2.742784917E-1,-3.726277873E-2,2.030516148E0
3.820277608E0,4.105014503E-1,-8.979719132E-2,1.739744186E0
3.840258377E0,2.877175212E-1,-2.113593817E-1,1.185078621E0
3.860232954E0,5.064072609E-1,-9.999864101E-1,1.001819015E0
3.880254800E0,1.002429843E0,-1.807550311E0,1.191798091E0
3.900228877E0,1.494787216E0,-1.644449234E0,1.309695125E0
3.920211761E0,1.884519339E0,-1.264491081E0,1.021366715E0
3.940180146E0,2.384817839E0,-1.489289522E0,5.784893632E-1
3.960153992E0,2.937040091E0,-2.268753529E0,1.374446750E-1
3.980115915E0,2.995683193E0,-2.185675859E0,-1.533271819E-1
4.000109838E0,2.770884752E0,-2.076941729E0,-3.298672438E-1
4.020082876E0,3.075095654E0,-4.127616405E0,-9.010262489E-1
4.040056184E0,3.630372047E0,-4.599815369E0,-1.475850463E0
4.060025838E0,3.764762402E0,-2.769663095E0,-2.277916431E0
4.080002184E0,3.501479626E0,-1.289536476E0,-3.091588974E0
4.099974376E0,3.664580584E0,-1.848478198E0,-3.711617231E0
4.119994607E0,4.223522186E0,-3.059823990E0,-4.136168480E0
4.139945376E0,4.880202293E0,-3.042109013E0,-4.656014919E0
4.159928491E0,4.493524551E0,-1.821600199E0,-5.499009132E0
4.179905760E0,4.092186451E0,-9.761626720E-1,-6.176458359E0
4.199869953E0,4.474587917E0,-2.425135076E-1,-6.248540401E0
4.219836568E0,4.939456463E0,-5.436700583E-2,-6.312070370E0
4.239825491E0,5.353622913E0,-4.831944108E-1,-6.278472900E0
4.259784452E0,5.336518764E0,-1.102611780E0,-5.943108082E0
4.279750298E0,5.031085968E0,-8.271115422E-1,-5.214956760E0
4.299771683E0,4.918686867E0,-4.361577928E-1,-4.423275471E0
4.319747452E0,4.861876488E0,-1.102611780E0,-3.875940084E0
4.339715760E0,4.692667007E0,-2.015855312E0,-3.818518639E0
4.359699606E0,3.970624208E0,-2.744006634E0,-3.769038677E0
4.379667413E0,3.283400774E0,-2.208888769E0,-3.365867615E0
4.399637913E0,2.827695131E0,-9.034696817E-1,-2.911383867E0
4.419617567E0,2.634661913E0,-2.199114859E-1,-2.557692766E0
4.439588144E0,2.754391432E0,-5.088507533E-1,-2.340835571E0
4.459540952E0,2.776382446E0,-1.601688623E0,-2.354274750E0
4.479527451E0,2.329839945E0,-2.649322510E0,-2.502104044E0
4.499498374E0,1.811215401E0,-2.290744781E0,-2.221106052E0
4.519470413E0,1.163698316E0,-7.544185519E-1,-1.445918083E0
