"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
8.853895512E0,4.695721149E0,3.182607889E-1,4.013384581E-1
8.873871512E0,4.856378555E0,-4.367686510E-1,2.388483137E-1
8.893835627E0,4.941899776E0,-6.725626588E-1,1.655444801E-1
8.913819511E0,4.681060314E0,-5.546656251E-1,-2.742784917E-1
8.933769396E0,4.284608841E0,-8.594874144E-1,-9.376781583E-1
8.953866050E0,4.274835110E0,-1.361007810E0,-1.570534587E0
8.973846819E0,4.762305260E0,-7.220427394E-1,-1.957823157E0
8.993817473E0,4.867374420E0,1.117883399E-1,-1.910175562E0
9.013782280E0,5.022533894E0,6.444628239E-1,-1.813048005E0
9.033769703E0,5.379890442E0,1.255938888E0,-2.310292244E0
9.053732511E0,5.098281384E0,8.319984674E-1,-2.900999069E0
9.073701511E0,4.947397709E0,-1.954768784E-2,-3.116634369E0
9.093654395E0,5.021312237E0,-7.342600226E-1,-2.981022358E0
9.113634434E0,4.883867741E0,-4.862487316E-1,-2.524706125E0
9.133603395E0,4.693888664E0,3.579670191E-1,-2.207667112E0
9.153591395E0,4.338365078E0,9.810495973E-1,-2.227825642E0
9.173563241E0,3.987117529E0,9.279043078E-1,-2.390926600E0
9.193544203E0,3.843564034E0,2.003637999E-1,-2.568077564E0
9.213525703E0,3.773925543E0,-7.220427394E-1,-2.601064205E0
9.233496356E0,3.694513083E0,-1.095281363E0,-2.547919035E0
9.253450779E0,3.333491564E0,-6.469063163E-1,-2.374433279E0
9.273442241E0,2.994461536E0,4.349360466E-1,-2.095878601E0
9.293408202E0,3.018285275E0,1.271821499E0,-1.934610248E0
9.313377318E0,3.060434818E0,1.632231951E0,-1.846645594E0
9.333359971E0,2.807536602E0,1.356120825E0,-1.863749862E0
9.353337933E0,2.346944332E0,9.627236128E-1,-2.035403013E0
9.373307702E0,1.816102386E0,9.798278809E-1,-2.237599373E0
9.393298663E0,1.441641927E0,1.246775985E0,-2.324953079E0
9.413261433E0,1.257771492E0,1.614516854E0,-2.035403013E0
9.433248317E0,1.180802464E0,1.656055689E0,-1.563204169E0
9.453232202E0,1.105055213E0,1.509448051E0,-1.279762745E0
9.473204586E0,8.772025108E-1,1.558928132E0,-1.313360333E0
9.493177240E0,5.027421117E-1,1.811826348E0,-1.273653984E0
9.513176009E0,7.086037099E-2,1.865582466E0,-9.761626720E-1
9.533146317E0,-3.255911767E-1,1.809382915E0,-6.682865620E-1
9.553120894E0,-6.969972253E-1,2.077552795E0,-5.681046844E-1
9.573077086E0,-1.004262447E0,2.295631647E0,-5.033529401E-1
9.593058893E0,-1.171028733E0,2.098322153E0,-3.701843321E-1
9.613024855E0,-1.172250390E0,1.425148606E0,6.658431143E-2
9.633009893E0,-9.834930301E-1,9.010262489E-1,5.784893632E-1
9.652987201E0,-5.791002512E-1,7.373143435E-1,9.071348906E-1
9.672941855E0,-2.241875380E-1,5.222898126E-1,7.018841505E-1
9.692934047E0,-1.600466967E-1,1.710422710E-2,2.724458873E-1
9.712928893E0,-1.649336219E-1,-1.172861308E-1,6.291911751E-2
9.732904508E0,1.429424733E-1,-2.083050460E-1,1.863138974E-1
9.752857393E0,6.102544069E-1,-5.265658498E-1,3.231477141E-1
9.772836431E0,5.577199459E-1,-6.218608022E-1,4.367686510E-1
9.792819200E0,-6.414085031E-1,8.552113548E-3,6.084218025E-1
9.812805239E0,-1.381777167E0,7.495316267E-1,5.748242140E-1
9.832785816E0,-6.811147332E-1,2.199114859E-1,4.379903674E-1
9.852748585E0,5.558874011E-1,-7.165449262E-1,6.108652428E-2
9.872727200E0,1.372003317E0,-1.559538960E0,-2.730567753E-1
9.892698662E0,1.405600905E0,-1.979203343E0,-1.466076523E-1
9.912680085E0,1.411709547E0,-2.027461767E0,3.518583775E-1
9.932670700E0,9.987646937E-1,-1.584584475E0,5.742133260E-1
9.952650161E0,-9.957103431E-2,-7.147123218E-1,1.062905490E-1
9.972627046E0,-5.375614166E-1,-4.337143153E-2,-3.536909819E-1
9.992579815E0,-6.163630486E-1,3.176499307E-1,-6.188064814E-1
1.001255701E1,-4.703662395E-1,4.172209501E-1,-7.531968355E-1
1.003253812E1,-4.245513380E-1,3.811798990E-1,-7.409795523E-1
1.005250728E1,-4.056145251E-1,-2.034181207E-1,-7.012733221E-1
1.007246174E1,-3.378084898E-1,-1.441642046E-1,-6.517932415E-1
1.009245735E1,-1.252273768E-1,2.101376504E-1,-6.139195561E-1
1.011244543E1,1.307251602E-1,4.593706727E-1,-5.748242140E-1
1.013244151E1,4.990769029E-1,7.208209634E-1,-5.418374538E-1
1.015241543E1,8.307767510E-1,8.894197941E-1,-5.461135507E-1
1.017237031E1,8.246681094E-1,7.593054771E-1,-5.131267905E-1
1.019235258E1,5.393940210E-1,3.689626157E-1,-4.520402849E-1
1.021231835E1,1.521054506E-1,5.619960278E-2,-4.025602043E-1
1.023227270E1,-7.574728876E-2,-1.252273768E-1,-3.500257730E-1
1.025225516E1,-6.536258012E-2,8.796459436E-2,-3.213151097E-1
1.027224285E1,2.455678284E-1,7.336491346E-1,-3.530801237E-1
1.029219570E1,3.567453027E-1,7.232644558E-1,-3.042109013E-1
1.031215301E1,2.357939780E-1,3.268128932E-1,-1.429424733E-1
1.033213531E1,-2.993239649E-2,-3.604105115E-2,-2.504547499E-2
1.035213516E1,-2.480112910E-1,-2.357939780E-1,-2.748893574E-2
1.037211820E1,-2.443460971E-1,-6.230825558E-2,-8.124507964E-2
1.039211016E1,-7.635815442E-2,3.298672438E-1,-1.514945775E-1
1.041210062E1,1.203404516E-1,5.949827433E-1,-2.101376504E-1
1.043207647E1,2.596177161E-1,6.151412725E-1,-2.382374406E-1
1.045207289E1,2.357939780E-1,4.447098970E-1,-2.357939780E-1
1.047203293E1,6.352998316E-2,2.467895597E-1,-1.771509200E-1
1.049201328E1,-1.227839142E-1,1.038470957E-2,-7.269296050E-2
1.051201304E1,-1.979203373E-1,-1.044579595E-1,-3.726277873E-2
1.053199751E1,-1.453859210E-1,4.092797264E-2,-2.565634064E-2
1.055195381E1,-3.543018550E-2,2.504547536E-1,-4.337143153E-2
1.057194624E1,4.520402849E-2,4.129449129E-1,-7.880161703E-2
1.059194104E1,-1.954768784E-2,3.194825351E-1,-1.252273768E-1
1.061193627E1,-1.020144969E-1,9.773843735E-2,-1.148426682E-1
1.063189447E1,-1.466076523E-1,-7.330383174E-3,-8.063421398E-2
1.065184589E1,-1.007927656E-1,1.044579595E-1,-5.131268129E-2
1.067184374E1,-1.710422710E-2,1.887573600E-1,-1.588249579E-2
1.069182424E1,9.162978269E-3,3.048217595E-1,-3.787364438E-2
1.071177885E1,-9.162978269E-3,3.304781020E-1,-8.552113175E-2
1.073176893E1,5.497787148E-3,2.767219543E-1,-8.552113175E-2
1.075176674E1,3.909537569E-2,2.162462920E-1,-6.414084882E-2
1.077171754E1,8.429940045E-2,1.056796908E-1,-5.131268129E-2
1.079170070E1,-1.081231460E-1,-3.604105115E-2,-1.404990070E-2
1.081166774E1,-2.357939780E-1,-3.420845270E-1,1.032362282E-1
1.083166400E1,-1.539380401E-1,-3.451388776E-1,9.407325089E-2
1.085163112E1,-2.260201424E-2,-9.957103431E-2,4.764748737E-2
1.087158743E1,3.420845419E-2,9.957103431E-2,1.282817032E-2
1.089153704E1,-1.288925707E-1,2.809980139E-2,-9.773843922E-3
