"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.237699210E-1,-9.401215911E-1,-2.927877188E0,-1.015868902E0,3.238561881E0
1.258016130E-1,-9.755517840E-1,-3.052493572E0,-1.001819015E0,3.357537733E0
1.277969980E-1,-1.023810148E0,-3.309667826E0,-9.633345008E-1,3.595845060E0
1.297967290E-1,-1.064738154E0,-3.540575027E0,-9.279043078E-1,3.811868999E0
1.317949590E-1,-1.081842303E0,-3.644422054E0,-9.169087410E-1,3.910615875E0
1.337951900E-1,-1.103222609E0,-3.824627399E0,-9.028588533E-1,4.081669876E0
1.357943060E-1,-1.100779176E0,-3.981619596E0,-8.698720932E-1,4.221573979E0
1.377945750E-1,-1.089783549E0,-4.048203945E0,-8.460483551E-1,4.276842432E0
1.397931900E-1,-1.067181587E0,-4.153883457E0,-8.100073338E-1,4.364600348E0
1.417928820E-1,-1.043357849E0,-4.235128880E0,-8.100073338E-1,4.436330027E0
1.437913050E-1,-1.022588372E0,-4.251622200E0,-8.130616546E-1,4.447813796E0
1.458118820E-1,-9.651671052E-1,-4.246735096E0,-8.087855577E-1,4.429496653E0
1.478075360E-1,-8.900306821E-1,-4.197865963E0,-7.910705209E-1,4.363487805E0
1.498074210E-1,-8.436049223E-1,-4.161213875E0,-7.831292152E-1,4.317483242E0
1.518057290E-1,-7.495316267E-1,-4.049425602E0,-7.666358948E-1,4.188958816E0
1.538061520E-1,-6.414085031E-1,-3.908315897E0,-7.550294399E-1,4.031923545E0
1.558118440E-1,-5.827654600E-1,-3.827681541E0,-7.483099103E-1,3.943441300E0
1.578116520E-1,-4.660901725E-1,-3.649919748E0,-7.422012687E-1,3.753667132E0
1.598101900E-1,-3.445279896E-1,-3.457497358E0,-7.470881939E-1,3.554029866E0
1.618107280E-1,-2.846632004E-1,-3.359758854E0,-7.580837607E-1,3.455966389E0
1.638098050E-1,-1.551597714E-1,-3.156951666E0,-7.861835957E-1,3.257069699E0
1.658274980E-1,-2.871066704E-2,-2.956587791E0,-8.228355050E-1,3.069086825E0
1.678233440E-1,3.359758854E-2,-2.855184078E0,-8.460483551E-1,2.978087094E0
1.698233050E-1,1.545489132E-1,-2.652987719E0,-8.943067193E-1,2.803928264E0
1.718221900E-1,2.700024247E-1,-2.453234911E0,-9.474520087E-1,2.643658099E0
1.738217670E-1,3.231477141E-1,-2.349387646E0,-9.773843884E-1,2.565019883E0
