"Frequency (Hz)","Rel. amplitude (a.u.)"
7.166813649E-1,4.688102179E-1
7.166813649E-1,4.703746959E-1
7.166813649E-1,4.710943975E-1
7.166813649E-1,4.713843062E-1
7.166813649E-1,4.716933802E-1
7.166813649E-1,4.717070253E-1
7.166813649E-1,4.716513081E-1
7.166813649E-1,4.716513081E-1
7.166813649E-1,4.725745044E-1
7.166813649E-1,4.728394853E-1
7.166813649E-1,4.724803373E-1
7.166813649E-1,4.724803373E-1
7.166813649E-1,4.719687542E-1
7.166813649E-1,4.714171056E-1
7.166813649E-1,4.708678342E-1
7.166813649E-1,4.704194983E-1
7.166813649E-1,4.701875125E-1
7.166813649E-1,4.700934165E-1
7.166813649E-1,4.700934165E-1
7.166813649E-1,4.701493520E-1
7.166813649E-1,4.707262616E-1
7.166813649E-1,4.718887969E-1
7.166813649E-1,4.732940136E-1
7.166813649E-1,4.732940136E-1
7.166813649E-1,4.769924365E-1
7.166813649E-1,4.769924365E-1
7.166813649E-1,4.795808483E-1
7.166813649E-1,4.826326545E-1
7.166813649E-1,4.857579570E-1
7.166813649E-1,4.857579570E-1
7.166813649E-1,4.919234519E-1
7.166813649E-1,4.952966120E-1
7.166813649E-1,4.983122830E-1
7.166813649E-1,5.004250208E-1
7.166813649E-1,5.022792626E-1
7.166813649E-1,5.022792626E-1
7.166813649E-1,5.035653521E-1
7.166813649E-1,5.038428737E-1
7.166813649E-1,5.036307243E-1
7.166813649E-1,5.036307243E-1
7.166813649E-1,5.042687270E-1
7.166813649E-1,5.055045376E-1
7.166813649E-1,5.071451388E-1
7.166813649E-1,5.077210320E-1
7.166813649E-1,5.076186273E-1
7.166813649E-1,5.076186273E-1
7.166813649E-1,5.073244235E-1
7.166813649E-1,5.072463472E-1
6.967284623E-1,5.222224465E-1
6.967284623E-1,5.228305127E-1
7.166813649E-1,5.085087414E-1
7.166813649E-1,5.082636299E-1
7.166813649E-1,5.077643298E-1
7.166813649E-1,5.072237483E-1
7.166813649E-1,5.067091635E-1
7.166813649E-1,5.064192714E-1
7.166813649E-1,5.065558442E-1
7.166813649E-1,5.065558442E-1
7.166813649E-1,5.069647852E-1
7.166813649E-1,5.067521219E-1
7.166813649E-1,5.062752063E-1
6.967284623E-1,5.202565072E-1
6.967284623E-1,5.202565072E-1
6.967284623E-1,5.195028152E-1
6.967284623E-1,5.195028152E-1
6.967284623E-1,5.192027253E-1
6.967284623E-1,5.188403551E-1
6.967284623E-1,5.184568699E-1
6.967284623E-1,5.180541116E-1
6.967284623E-1,5.176197182E-1
6.967284623E-1,5.171856846E-1
6.967284623E-1,5.171856846E-1
6.967284623E-1,5.167476354E-1
7.166813649E-1,5.018959016E-1
7.166813649E-1,5.014013564E-1
7.166813649E-1,5.009299652E-1
7.166813649E-1,5.009299652E-1
7.166813649E-1,5.001950551E-1
7.166813649E-1,5.001950551E-1
7.166813649E-1,4.996892361E-1
7.166813649E-1,4.991727696E-1
7.166813649E-1,4.986694909E-1
7.166813649E-1,4.981943869E-1
7.166813649E-1,4.977166342E-1
7.166813649E-1,4.972102370E-1
7.166813649E-1,4.972102370E-1
7.166813649E-1,4.967042349E-1
7.166813649E-1,4.962009649E-1
7.166813649E-1,4.956968765E-1
7.166813649E-1,4.951981376E-1
7.166813649E-1,4.947187822E-1
7.166813649E-1,4.942179399E-1
7.166813649E-1,4.942179399E-1
7.166813649E-1,4.937227756E-1
6.967284623E-1,5.073722904E-1
6.967284623E-1,5.073722904E-1
6.967284623E-1,5.069099956E-1
6.967284623E-1,5.064466430E-1
6.967284623E-1,5.064466430E-1
6.967284623E-1,5.059710032E-1
6.967271739E-1,5.059977016E-1
6.967271739E-1,5.059977016E-1
6.967271739E-1,5.059977016E-1
6.967302671E-1,5.061072393E-1
6.967283628E-1,5.061864268E-1
6.967253693E-1,5.061789900E-1
6.967253693E-1,5.061789900E-1
6.967289166E-1,5.060961781E-1
6.967289166E-1,5.060961781E-1
6.967318043E-1,5.060829306E-1
6.967384822E-1,5.061826438E-1
6.967384822E-1,5.061826438E-1
6.967387997E-1,5.063413099E-1
6.967377542E-1,5.063682672E-1
6.967377542E-1,5.063682672E-1
