"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.917187500E4,9.005086418E-3
1.919531250E4,1.645599138E-2
1.921875000E4,9.028175270E-3
1.924218750E4,7.354611820E-3
1.926562500E4,2.610161724E-3
1.928906250E4,1.442574541E-2
1.931250000E4,4.958453727E-3
1.933593750E4,4.048455964E-3
1.935937500E4,7.913509614E-3
1.938281250E4,1.134121771E-2
1.940625000E4,6.679770566E-3
1.942968750E4,7.221731396E-3
1.945312500E4,9.224204633E-3
1.947656250E4,8.080925626E-3
1.950000000E4,6.152727844E-3
1.952343750E4,1.350126400E-2
1.954687500E4,5.370700125E-3
1.957031250E4,9.347104063E-3
1.959375000E4,3.008046935E-3
1.961718750E4,2.402935495E-2
1.964062500E4,2.276061396E-2
1.966406250E4,1.499286004E-2
1.968750000E4,7.710307069E-3
1.971093750E4,1.399912048E-2
1.973437500E4,1.556015628E-2
1.975781250E4,1.250152866E-2
1.978125000E4,9.308192301E-3
1.980468750E4,5.916341838E-3
1.982812500E4,2.099895543E-2
1.985156250E4,2.192328321E-2
1.987500000E4,1.029980209E-2
1.989843750E4,5.304894349E-3
1.992187500E4,3.808866235E-3
1.994531250E4,3.287375643E-3
1.996875000E4,1.130481149E-2
1.999218750E4,1.049607905E-2
2.001562500E4,1.352716687E-2
2.003906250E4,1.508553479E-2
2.006250000E4,4.367408138E-3
2.008593750E4,1.214318538E-2
2.010937500E4,1.166845530E-2
2.013281250E4,9.662070976E-3
2.015625000E4,5.696998011E-3
2.017968750E4,2.086675627E-2
2.020312500E4,1.082239406E-2
2.022656250E4,1.116268737E-2
2.025000000E4,1.957737035E-2
2.027343750E4,1.276659911E-2
2.029687500E4,6.344849271E-3
2.032031250E4,1.114088797E-2
2.034375000E4,5.293984935E-3
2.036718750E4,7.104418270E-3
2.039062500E4,6.692033769E-3
2.041406250E4,7.342213762E-4
2.043750000E4,1.858337379E-2
2.046093750E4,1.992062490E-2
2.048437500E4,1.052032971E-2
2.050781250E4,1.992463378E-2
2.053125000E4,7.036295568E-3
2.055468750E4,2.084556641E-2
2.057812500E4,9.710187990E-3
2.060156250E4,7.395339566E-3
2.062500000E4,4.584801741E-3
2.064843750E4,1.774211171E-2
2.067187500E4,6.695024714E-4
2.069531250E4,1.395096380E-2
2.071875000E4,6.346772101E-3
2.074218750E4,3.847622798E-3
2.076562500E4,1.598800481E-2
2.078906250E4,1.034413985E-2
2.081250000E4,5.880423320E-3
2.083593750E4,5.534892225E-3
2.085937500E4,7.244439302E-3
2.088281250E4,1.017504437E-2
2.090625000E4,4.443537478E-3
2.092968750E4,1.338678946E-2
2.095312500E4,1.684853578E-2
2.097656250E4,9.238844501E-3
2.100000000E4,6.551240893E-3
2.102343750E4,4.630386740E-3
2.104687500E4,8.549997948E-3
2.107031250E4,1.574406571E-2
2.109375000E4,7.262880065E-3
2.111718750E4,1.112659899E-2
2.114062500E4,5.188683562E-3
2.116406250E4,8.422919821E-3
2.118750000E4,1.093589182E-2
2.121093750E4,5.735162609E-3
2.123437500E4,1.262859424E-2
2.125781250E4,7.150792476E-3
2.128125000E4,1.143394084E-2
2.130468750E4,6.862564369E-3
2.132812500E4,9.314932200E-3
2.135156250E4,7.069298732E-3
2.137500000E4,3.323488602E-3
2.139843750E4,1.267138071E-2
2.142187500E4,8.820936586E-3
2.144531250E4,8.479672206E-3
2.146875000E4,6.037935776E-3
2.149218750E4,1.363753970E-2
2.151562500E4,7.392627824E-3
2.153906250E4,1.714195454E-2
2.156250000E4,8.365755089E-3
2.158593750E4,8.060983718E-3
2.160937500E4,7.131233885E-3
2.163281250E4,7.343010446E-3
2.165625000E4,5.296015325E-3
2.167968750E4,3.479932102E-3
2.170312500E4,1.018241534E-2
2.172656250E4,1.158051552E-2
2.175000000E4,1.976866319E-3
2.177343750E4,9.569018579E-3
2.179687500E4,8.817883133E-3
2.182031250E4,3.630439555E-3
2.184375000E4,1.096678067E-2
2.186718750E4,1.141696299E-2
2.189062500E4,5.623625245E-3
2.191406250E4,1.331468568E-2
2.193750000E4,1.058859848E-2
2.196093750E4,6.460775828E-3
2.198437500E4,9.964555094E-3
2.200781250E4,5.783177416E-3
2.203125000E4,7.113966727E-3
2.205468750E4,5.039805827E-3
2.207812500E4,1.388256331E-2
2.210156250E4,1.461278567E-2
2.212500000E4,6.774143850E-3
2.214843750E4,3.281769525E-3
2.217187500E4,1.321602740E-2
2.219531250E4,6.814626873E-3
2.221875000E4,1.091686227E-2
2.224218750E4,1.310786555E-2
2.226562500E4,1.149373834E-2
2.228906250E4,3.410134279E-3
2.231250000E4,8.780369215E-3
2.233593750E4,1.133503041E-2
2.235937500E4,2.058976593E-3
2.238281250E4,4.743803967E-3
2.240625000E4,5.656843408E-3
2.242968750E4,1.159488226E-2
2.245312500E4,1.131700841E-3
2.247656250E4,1.074040656E-2
2.250000000E4,3.118739188E-3
2.252343750E4,6.345717104E-3
2.254687500E4,2.557022402E-3
2.257031250E4,1.183370308E-2
2.259375000E4,1.316004529E-2
2.261718750E4,1.453111165E-2
2.264062500E4,8.366787942E-3
2.266406250E4,1.053775539E-2
2.268750000E4,7.512028983E-3
2.271093750E4,1.086891199E-2
2.273437500E4,1.137121847E-2
2.275781250E4,7.341610971E-3
2.278125000E4,8.613211769E-3
2.280468750E4,4.145106520E-3
2.282812500E4,3.268655627E-3
2.285156250E4,3.239070704E-3
2.287500000E4,7.037224634E-3
2.289843750E4,4.087792753E-3
2.292187500E4,1.534016770E-2
2.294531250E4,1.021985921E-2
2.296875000E4,8.148320288E-3
2.299218750E4,6.541564563E-3
2.301562500E4,8.957879241E-3
2.303906250E4,4.661942289E-3
2.306250000E4,1.883108052E-2
2.308593750E4,9.071495993E-3
2.310937500E4,9.377142347E-3
2.313281250E4,1.619087906E-2
2.315625000E4,8.022517948E-3
2.317968750E4,5.751959701E-3
2.320312500E4,9.121049455E-3
2.322656250E4,7.758471850E-3
2.325000000E4,8.599143714E-3
2.327343750E4,6.787154083E-3
2.329687500E4,6.140821932E-3
2.332031250E4,1.060968062E-2
2.334375000E4,1.388315031E-2
2.336718750E4,7.757966593E-4
2.339062500E4,8.238047952E-3
2.341406250E4,7.044772732E-3
2.343750000E4,5.608503930E-3
2.346093750E4,4.405965049E-3
2.348437500E4,6.665534140E-3
2.350781250E4,4.851117002E-3
2.353125000E4,1.135242688E-2
2.355468750E4,1.161002461E-2
2.357812500E4,3.157189118E-3
2.360156250E4,6.817262319E-3
2.362500000E4,3.806845786E-3
2.364843750E4,5.685898536E-3
2.367187500E4,9.776522616E-3
2.369531250E4,4.840328848E-3
2.371875000E4,4.252609110E-3
2.374218750E4,4.335009325E-3
2.376562500E4,6.582517428E-3
2.378906250E4,5.665553092E-3
2.381250000E4,4.480911633E-3
2.383593750E4,2.368732814E-3
2.385937500E4,1.754819989E-3
2.388281250E4,1.566868917E-3
2.390625000E4,5.356552673E-3
2.392968750E4,2.038289203E-3
2.395312500E4,6.279956813E-3
2.397656250E4,1.890859137E-2
