"Frequency (Hz)","Absolute Amplitude (a.u.)"
4.476562500E3,1.428984834E-1
4.500000000E3,3.339338903E-1
4.523437500E3,4.175850397E-1
4.546875000E3,2.443221737E-1
4.570312500E3,1.059241800E-1
4.593750000E3,3.800388525E-1
4.617187500E3,3.118367094E-1
4.640625000E3,2.975144387E-1
4.664062500E3,2.093025063E-1
4.687500000E3,2.416948082E-1
4.710937500E3,2.084532786E-1
4.734375000E3,3.205726818E-1
4.757812500E3,2.277341756E-1
4.781250000E3,8.494938973E-2
4.804687500E3,3.352981582E-1
4.828125000E3,6.215874911E-1
4.851562500E3,5.406089241E-1
4.875000000E3,3.789481613E-1
4.898437500E3,2.425492361E-1
4.921875000E3,5.405556113E-1
4.945312500E3,7.332376771E-1
4.968750000E3,3.362115748E-1
4.992187500E3,4.251142373E-1
5.015625000E3,4.086718752E-1
5.039062500E3,5.613538978E-1
5.062500000E3,2.042422380E-1
5.085937500E3,6.914703077E-1
5.109375000E3,4.334150857E-1
5.132812500E3,9.076607233E-1
5.156250000E3,7.737134378E-1
5.179687500E3,4.111529463E-1
5.203125000E3,3.028079931E-1
5.226562500E3,1.881861490E-1
5.250000000E3,4.436148119E-1
5.273437500E3,1.401018505E-1
5.296875000E3,1.392135070E0
5.320312500E3,1.032860177E0
5.343750000E3,1.276051243E0
5.367187500E3,1.515875821E0
5.390625000E3,3.260241423E-1
5.414062500E3,3.721719589E-1
5.437500000E3,4.350516672E-1
5.460937500E3,2.347444225E-1
5.484375000E3,3.092559367E-1
5.507812500E3,1.089311232E-1
5.531250000E3,3.766563828E-1
5.554687500E3,2.932860726E-1
5.578125000E3,2.116884998E-1
5.601562500E3,1.649389503E-1
5.625000000E3,2.686406652E-1
5.648437500E3,2.884829419E-1
5.671875000E3,1.696883095E-1
5.695312500E3,2.255727923E-1
5.718750000E3,2.743740333E-1
5.742187500E3,3.622364962E-1
5.765625000E3,1.357719368E-1
5.789062500E3,3.185296193E-1
5.812500000E3,3.996516512E-1
5.835937500E3,9.531074152E-2
5.859375000E3,1.379891514E-1
5.882812500E3,2.923433653E-1
5.906250000E3,1.358206252E-1
5.929687500E3,4.590833440E-1
5.953125000E3,1.153210287E-1
5.976562500E3,2.485155541E-1
6.000000000E3,2.264753315E-1
