"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.077332800E-1,2.136666298E0,3.835291862E-1,2.982691765E0,3.689022590E0
5.157613950E-1,3.439378262E0,6.056270599E-1,2.122987747E0,4.086952891E0
5.237915490E-1,4.282531261E0,8.171734810E-1,1.080395699E0,4.491670220E0
5.317878560E-1,4.754591465E0,6.841206551E-1,6.637477875E-1,4.849198098E0
5.397815100E-1,5.153124809E0,7.564702034E-1,1.832532883E-1,5.211575984E0
5.478045490E-1,5.142886162E0,5.135722160E-1,1.213547230E0,5.309023580E0
5.557985100E-1,5.203243256E0,2.500877380E-1,1.980881691E0,5.573165755E0
5.638443950E-1,5.624629974E0,1.185159683E-1,2.768198967E0,6.270042576E0
5.718390490E-1,6.065442085E0,-2.524328232E-1,3.547379017E0,7.031159784E0
5.798326250E-1,6.213294029E0,-8.693985939E-1,4.479212284E0,7.708710612E0
5.878603950E-1,5.595953941E0,5.405821800E-1,5.517450333E0,7.877130682E0
5.958564720E-1,3.545976162E0,4.063496590E0,5.472684860E0,7.683503827E0
6.038679720E-1,3.276799679E0,6.546986580E0,6.043482780E0,9.493373138E0
6.118624710E-1,4.892864227E0,7.837393284E0,6.807490826E0,1.147635766E1
6.198568950E-1,5.810245991E0,8.491308212E0,7.658335686E0,1.282619893E1
6.278722020E-1,6.000211716E0,8.811130524E0,8.394672394E0,1.356868035E1
6.358669710E-1,4.027169228E0,6.635842323E0,9.599652290E0,1.234527519E1
6.438933180E-1,5.255011082E0,5.985817432E0,9.578505516E0,1.245764503E1
6.518882410E-1,7.840425014E0,5.744899750E0,9.911625862E0,1.388223558E1
6.599190100E-1,7.927461624E0,5.601186275E0,1.043481827E1,1.425143388E1
6.679337400E-1,6.908390522E0,5.817934036E0,1.165441418E1,1.474447645E1
6.759291250E-1,6.490980148E0,5.346199989E0,1.354631042E1,1.594419028E1
6.839649330E-1,5.577106476E0,4.452339649E0,1.493371391E1,1.655123126E1
6.919602020E-1,4.418623447E0,3.476026535E0,1.438584709E1,1.544537439E1
6.999531630E-1,4.757907391E0,1.784488678E0,1.198621750E1,1.301888983E1
7.079822400E-1,4.739163399E0,-4.382896423E-2,9.505271912E0,1.062128923E1
7.159770480E-1,4.233270645E0,-1.679214478E0,5.818889618E0,7.389168966E0
7.239890480E-1,2.627472401E0,-2.648575306E0,2.938653469E0,4.749131139E0
7.319839330E-1,1.385408640E0,-3.385908127E0,8.758702278E-1,3.761765490E0
7.399781250E-1,5.907679200E-1,-4.351226807E0,-1.588400126E0,4.669603454E0
7.480164710E-1,-2.463651896E-1,-4.807604790E0,-2.970743179E0,5.656772459E0
7.560458560E-1,-4.703288674E-1,-5.580227375E0,-3.565465927E0,6.638726842E0
7.640687790E-1,-7.937171459E-1,-5.925784111E0,-3.836159229E0,7.103592181E0
7.720625480E-1,-1.092670918E0,-6.004001617E0,-3.144327641E0,6.865039073E0
7.800575860E-1,-4.825741351E-1,-6.312698841E0,-6.901341677E-1,6.368620700E0
7.880707400E-1,-2.262634188E-1,-6.983947754E0,1.285759091E0,7.104920675E0
7.960642780E-1,2.270672917E-1,-8.783926010E0,2.190425634E0,9.055765024E0
8.040733550E-1,1.634359121E0,-1.010115528E1,3.182641029E0,1.071604739E1
8.120685860E-1,1.985848069E0,-1.081991863E1,4.030136108E0,1.171564035E1
8.200642400E-1,2.102383137E0,-1.123337555E1,4.444418430E0,1.226220193E1
8.280937400E-1,2.214805841E0,-1.136567211E1,5.364467144E0,1.276171521E1
8.360895480E-1,1.983504891E0,-1.140361023E1,5.168100834E0,1.267619360E1
8.441007780E-1,6.346137524E-1,-1.143943691E1,4.147444248E0,1.218461100E1
8.521401240E-1,-4.910278320E-1,-1.140754700E1,2.356215954E0,1.165868734E1
8.601360470E-1,-1.120776892E0,-1.123527336E1,6.490221620E-1,1.130967454E1
8.681514700E-1,-1.737012744E0,-1.144672680E1,-1.162086725E0,1.163594488E1
8.761460860E-1,-1.455893040E0,-1.198507881E1,-2.580489159E0,1.234587635E1
8.841728940E-1,-5.795560479E-1,-1.262432480E1,-3.342706203E0,1.307222807E1
8.921682400E-1,6.719357371E-1,-1.316902924E1,-2.549487829E0,1.343036548E1
9.001630860E-1,5.620375872E-1,-1.346653175E1,-2.468832016E0,1.370249960E1
9.081770860E-1,-1.268970966E-1,-1.371314049E1,-3.026178360E0,1.404364911E1
9.161727400E-1,-6.687037945E-1,-1.355693245E1,-4.084966183E0,1.417478504E1
9.241855470E-1,-2.431873679E-1,-1.387901878E1,-4.755507946E0,1.467314412E1
9.321814320E-1,8.285947442E-1,-1.344033146E1,-4.438713074E0,1.417854903E1
9.401767780E-1,7.796654105E-1,-1.347337246E1,-4.143403530E0,1.411762857E1
9.482068930E-1,2.098355889E-1,-1.399138546E1,-3.820866108E0,1.450523753E1
9.562011620E-1,-1.661397457E0,-1.428779221E1,-4.885161400E0,1.519098580E1
9.642291240E-1,-3.415221214E0,-1.522533131E1,-6.133262157E0,1.676577925E1
9.722225850E-1,-4.843648911E0,-1.566784668E1,-6.716196060E0,1.772144587E1
9.802171240E-1,-3.244485140E0,-1.366366959E1,-6.927225113E0,1.565915062E1
9.882342390E-1,-1.155584335E0,-1.209968090E1,-6.249588013E0,1.366729686E1
9.962302390E-1,-1.454375505E0,-1.232935905E1,-6.680068016E0,1.409792933E1
1.004226393E0,-7.201393843E-1,-1.234790421E1,-7.252707005E0,1.433844824E1
1.012222893E0,1.334719658E-1,-1.197495842E1,-7.038167477E0,1.389076115E1
1.020220855E0,6.140139699E-1,-1.154700184E1,-7.266191006E0,1.365678573E1
1.028240278E0,1.178478241E0,-1.094862938E1,-7.560301304E0,1.335737444E1
1.036238047E0,1.445644259E0,-1.010392857E1,-7.711012363E0,1.279214491E1
1.044289624E0,1.717026114E0,-8.874790192E0,-7.793084145E0,1.193491685E1
1.052287008E0,1.845520258E0,-7.458058357E0,-7.662533283E0,1.085094447E1
1.060282547E0,2.196797132E0,-6.158398151E0,-7.089475155E0,9.644295900E0
