"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.379638340E-1,-1.436521020E-2,6.473921299E0,7.656657219E0,1.002677730E1
1.399616030E-1,-2.394201700E-3,6.466738701E0,7.575253963E0,9.960079707E0
1.419601800E-1,5.506663769E-2,6.469132900E0,7.460332394E0,9.874678336E0
1.439581030E-1,1.604115069E-1,6.447585106E0,7.405265808E0,9.820134787E0
1.459571420E-1,2.035071403E-1,6.435614109E0,7.381323814E0,9.795023500E0
1.479547570E-1,3.830722570E-1,6.454767704E0,7.388506413E0,9.818390778E0
1.499536800E-1,5.578489900E-1,6.454767704E0,7.400477409E0,9.835765730E0
1.519512950E-1,5.793967843E-1,6.452373505E0,7.402871609E0,9.837242120E0
1.539501410E-1,6.488286853E-1,6.423643112E0,7.445967197E0,9.855282695E0
1.559471410E-1,7.326257229E-1,6.402095318E0,7.417236805E0,9.825424506E0
1.579460650E-1,7.781155705E-1,6.402095318E0,7.395689011E0,9.812670597E0
1.599524110E-1,6.631938815E-1,6.318298340E0,7.302315235E0,9.679076807E0
1.619512950E-1,5.913678408E-1,6.289567947E0,7.283161640E0,9.641204508E0
1.639492570E-1,7.134721279E-1,6.270414352E0,7.323863029E0,9.667787146E0
1.659483720E-1,7.996633649E-1,6.265625954E0,7.290344238E0,9.646069106E0
1.679458720E-1,8.116343617E-1,6.263231754E0,7.278373241E0,9.636469239E0
1.699454110E-1,8.690952063E-1,6.301538944E0,7.264008045E0,9.655595912E0
1.719897570E-1,9.289502501E-1,6.358999729E0,7.242460251E0,9.682616207E0
1.739887950E-1,9.097966552E-1,6.368576527E0,7.244854450E0,9.688880892E0
1.759862950E-1,8.547300100E-1,6.351817131E0,7.225700855E0,9.658514229E0
1.779856800E-1,8.259995580E-1,6.332663536E0,7.129932880E0,9.571877852E0
1.799834110E-1,7.805097699E-1,6.335057735E0,7.082048416E0,9.534021281E0
1.819826030E-1,7.230489254E-1,6.342240334E0,6.967126846E0,9.449215242E0
1.839801800E-1,6.727706790E-1,6.351817131E0,6.919242859E0,9.416693846E0
1.859791030E-1,5.889736414E-1,6.344634533E0,6.842628479E0,9.350018279E0
1.879764880E-1,5.746083856E-1,6.339846134E0,6.811503887E0,9.323111552E0
1.899747950E-1,5.386953950E-1,6.366182327E0,6.806715488E0,9.335408180E0
1.920154490E-1,5.315127969E-1,6.385335922E0,6.789956093E0,9.335872987E0
1.940146410E-1,5.554547906E-1,6.426037312E0,6.684611320E0,9.289053453E0
1.960124110E-1,5.626373887E-1,6.445190907E0,6.533776283E0,9.194959444E0
1.980112950E-1,5.506663918E-1,6.459556103E0,6.507440090E0,9.185634167E0
2.000088720E-1,5.434837937E-1,6.481103897E0,6.430825710E0,9.146343623E0
2.020080260E-1,5.123591423E-1,6.490680695E0,6.366182327E0,9.106026861E0
2.040054870E-1,4.812345505E-1,6.485892296E0,6.318298340E0,9.067484738E0
2.060046410E-1,3.926490843E-1,6.469132900E0,6.320692539E0,9.052900527E0
2.080107950E-1,3.160346150E-1,6.440402508E0,6.356605530E0,9.054562176E0
2.100100640E-1,2.753331959E-1,6.442796707E0,6.375759125E0,9.068392481E0
2.120077950E-1,2.226607651E-1,6.438008308E0,6.373364925E0,9.061860144E0
2.140069490E-1,1.963245422E-1,6.414066315E0,6.339846134E0,9.020667327E0
2.160045640E-1,1.580173075E-1,6.366182327E0,6.311115742E0,8.965680610E0
2.180042180E-1,1.077390760E-1,6.354211330E0,6.344634533E0,8.980088902E0
2.200019870E-1,7.182604820E-2,6.344634533E0,6.354211330E0,8.979729838E0
2.220009100E-1,0.000000000E0,6.347028732E0,6.442796707E0,9.044025826E0
2.239988720E-1,-7.182605099E-3,6.337451935E0,6.677428722E0,9.206052518E0
2.259983720E-1,-1.436521020E-2,6.344634533E0,6.775590897E0,9.282414864E0
