"Time (s)","Recording (a.u.)"
3.583333333E-3,-9.216308594E-3
3.604166667E-3,-1.416015625E-2
3.625000000E-3,-1.913452148E-2
3.645833333E-3,-2.136230469E-2
3.666666667E-3,-2.243041992E-2
3.687500000E-3,-1.943969727E-2
3.708333333E-3,-1.504516602E-2
3.729166667E-3,-1.147460938E-2
3.750000000E-3,-9.368896484E-3
3.770833333E-3,-1.046752930E-2
3.791666667E-3,-1.364135742E-2
3.812500000E-3,-1.779174805E-2
3.833333333E-3,-2.084350586E-2
3.854166667E-3,-2.163696289E-2
3.875000000E-3,-2.093505859E-2
3.895833333E-3,-1.934814453E-2
3.916666667E-3,-1.815795898E-2
3.937500000E-3,-1.846313477E-2
3.958333333E-3,-1.989746094E-2
3.979166667E-3,-2.166748047E-2
4.000000000E-3,-2.191162109E-2
4.020833333E-3,-1.925659180E-2
4.041666667E-3,-1.443481445E-2
4.062500000E-3,-1.022338867E-2
4.083333333E-3,-5.187988281E-3
4.104166667E-3,-1.098632812E-3
4.125000000E-3,3.021240234E-3
4.145833333E-3,6.988525391E-3
4.166666667E-3,7.080078125E-3
4.187500000E-3,5.737304688E-3
4.208333333E-3,2.014160156E-3
4.229166667E-3,-2.563476562E-3
4.250000000E-3,-6.988525391E-3
4.270833333E-3,-1.147460938E-2
4.291666667E-3,-1.373291016E-2
4.312500000E-3,-1.705932617E-2
4.333333333E-3,-2.038574219E-2
4.354166667E-3,-2.377319336E-2
4.375000000E-3,-2.478027344E-2
4.395833333E-3,-2.209472656E-2
4.416666667E-3,-1.617431641E-2
4.437500000E-3,-9.399414062E-3
4.458333333E-3,-3.326416016E-3
4.479166667E-3,1.464843750E-3
4.500000000E-3,3.234863281E-3
4.520833333E-3,1.678466797E-3
4.541666667E-3,-1.831054688E-4
4.562500000E-3,-3.967285156E-4
4.583333333E-3,2.075195312E-3
4.604166667E-3,7.049560547E-3
4.625000000E-3,1.092529297E-2
4.645833333E-3,1.498413086E-2
4.666666667E-3,1.516723633E-2
4.687500000E-3,1.416015625E-2
4.708333333E-3,1.193237305E-2
4.729166667E-3,1.031494141E-2
4.750000000E-3,8.636474609E-3
4.770833333E-3,5.920410156E-3
4.791666667E-3,6.195068359E-3
4.812500000E-3,1.010131836E-2
4.833333333E-3,1.651000977E-2
4.854166667E-3,2.221679688E-2
4.875000000E-3,2.447509766E-2
4.895833333E-3,2.346801758E-2
4.916666667E-3,1.763916016E-2
4.937500000E-3,1.290893555E-2
4.958333333E-3,1.052856445E-2
4.979166667E-3,1.119995117E-2
5.000000000E-3,1.483154297E-2
5.020833333E-3,1.745605469E-2
5.041666667E-3,1.953125000E-2
5.062500000E-3,1.889038086E-2
5.083333333E-3,1.647949219E-2
5.104166667E-3,1.397705078E-2
5.125000000E-3,1.159667969E-2
5.145833333E-3,1.113891602E-2
5.166666667E-3,1.132202148E-2
5.187500000E-3,1.312255859E-2
5.208333333E-3,1.547241211E-2
5.229166667E-3,1.757812500E-2
5.250000000E-3,1.910400391E-2
5.270833333E-3,1.821899414E-2
5.291666667E-3,1.409912109E-2
5.312500000E-3,8.880615234E-3
5.333333333E-3,6.225585938E-3
5.354166667E-3,6.744384766E-3
5.375000000E-3,7.843017578E-3
5.395833333E-3,6.622314453E-3
5.416666667E-3,3.356933594E-3
