"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.625239620E-1,-2.236260033E1,-2.438780022E1,-1.376159954E1,3.583618722E1
6.725239620E-1,-2.228940010E1,-2.436339951E1,-1.372499943E1,3.575986859E1
6.825239620E-1,-2.228940010E1,-2.438780022E1,-1.362739944E1,3.573916860E1
6.925239620E-1,-2.231379890E1,-2.436339951E1,-1.371280003E1,3.577040315E1
7.025239620E-1,-2.226499939E1,-2.435120010E1,-1.363959980E1,3.570363885E1
7.125239620E-1,-2.228940010E1,-2.431459999E1,-1.365180016E1,3.569858228E1
7.225239620E-1,-2.227719879E1,-2.425359917E1,-1.366399956E1,3.565410976E1
7.325239620E-1,-2.236260033E1,-2.419260025E1,-1.376159954E1,3.570363318E1
7.425239620E-1,-2.243579865E1,-2.416819954E1,-1.388359928E1,3.578017969E1
7.525239620E-1,-2.244799995E1,-2.421699905E1,-1.392019939E1,3.583500658E1
7.625239620E-1,-2.241139984E1,-2.422920036E1,-1.390799999E1,3.581560354E1
7.725239620E-1,-2.237479973E1,-2.427799988E1,-1.384700012E1,3.580212778E1
7.825239620E-1,-2.239920044E1,-2.427799988E1,-1.378599930E1,3.579384354E1
7.925239620E-1,-2.243579865E1,-2.427799988E1,-1.371280003E1,3.578864657E1
8.025239620E-1,-2.243579865E1,-2.427799988E1,-1.370059967E1,3.578397365E1
8.125239620E-1,-2.238699913E1,-2.431459999E1,-1.365180016E1,3.575960221E1
8.225239620E-1,-2.237479973E1,-2.421699905E1,-1.372499943E1,3.571372727E1
8.325239620E-1,-2.244799995E1,-2.416819954E1,-1.374940014E1,3.573598432E1
8.425239620E-1,-2.254559898E1,-2.413159943E1,-1.388359928E1,3.582446725E1
8.525239620E-1,-2.259440041E1,-2.404619980E1,-1.393239975E1,3.581673376E1
8.625239620E-1,-2.271640015E1,-2.403400040E1,-1.407880020E1,3.594274093E1
8.725239620E-1,-2.275300026E1,-2.403400040E1,-1.416419983E1,3.599939934E1
8.825239620E-1,-2.285059929E1,-2.399740028E1,-1.424959946E1,3.607043378E1
8.925239620E-1,-2.288719940E1,-2.391199875E1,-1.431059933E1,3.606107089E1
9.025239620E-1,-2.296039963E1,-2.391199875E1,-1.434719944E1,3.612209527E1
9.125239620E-1,-2.298480034E1,-2.388759995E1,-1.416419983E1,3.604917523E1
9.225239620E-1,-2.300919914E1,-2.385099983E1,-1.407880020E1,3.600702783E1
9.325239620E-1,-2.315559959E1,-2.388759995E1,-1.387139988E1,3.604462454E1
9.425239620E-1,-2.324099922E1,-2.382659912E1,-1.379819965E1,3.603111411E1
9.525239620E-1,-2.332639885E1,-2.372900009E1,-1.377379990E1,3.601255187E1
9.625239620E-1,-2.341180038E1,-2.369239998E1,-1.355420017E1,3.596051385E1
9.725239620E-1,-2.355819893E1,-2.365579987E1,-1.332240009E1,3.594540232E1
9.825239620E-1,-2.363139915E1,-2.364360046E1,-1.298079967E1,3.586034062E1
9.925239620E-1,-2.378999901E1,-2.352159882E1,-1.287099934E1,3.584539423E1
1.002523962E0,-2.397299957E1,-2.335079956E1,-1.271239948E1,3.579901743E1
1.012523962E0,-2.419260025E1,-2.316779900E1,-1.263920021E1,3.580193010E1
1.022523962E0,-2.429019928E1,-2.304579926E1,-1.237080002E1,3.569536857E1
1.032523962E0,-2.452199936E1,-2.294820023E1,-1.218779945E1,3.572801144E1
1.042523962E0,-2.483919907E1,-2.276519966E1,-1.204139996E1,3.578037785E1
1.052523962E0,-2.516860008E1,-2.254559898E1,-1.189499950E1,3.582252751E1
1.062523962E0,-2.559560013E1,-2.228940010E1,-1.180959988E1,3.593631523E1
1.072523962E0,-2.594939995E1,-2.211859894E1,-1.165100002E1,3.603261825E1
1.082523962E0,-2.624219894E1,-2.197220039E1,-1.124839973E1,3.602717158E1
1.092523962E0,-2.654719925E1,-2.192339897E1,-1.123619938E1,3.621658994E1
1.102523962E0,-2.686439896E1,-2.170380020E1,-1.099219990E1,3.624333502E1
1.112523962E0,-2.724259949E1,-2.145979881E1,-1.063840008E1,3.627475359E1
1.122523962E0,-2.751099968E1,-2.125239944E1,-1.024800014E1,3.624280746E1
1.132523962E0,-2.775499916E1,-2.109379959E1,-9.918600082E0,3.624454424E1
1.142523962E0,-2.796239853E1,-2.091079903E1,-9.564800262E0,3.620279895E1
1.152523962E0,-2.821859932E1,-2.070339966E1,-9.210999489E0,3.619064267E1
1.162523962E0,-2.849919891E1,-2.047159958E1,-8.918199539E0,3.620531744E1
1.172523962E0,-2.910919952E1,-2.039839935E1,-9.003600121E0,3.666749253E1
